Job Title,Location,Contract Type,Minimum Experience,Link,Job Responsibilities,Profile,Additional Information
Client Advisor | HamburgLoro PianaReference: LORP02705,Published on 09.12.2024,"Hamburg, Germany",Permanent Job,https://www.lvmh.com/join-us/our-job-offers/LORP02705,"Job responsibilities
Is polyvalent, constantly operating to serve the store, with the aim of achieving the highest customer satisfaction.
Is aligned to the style and to the Brand qualitative standards during the whole sales process and after-sales
Cooperates with colleagues in order to create a positive environment and pays attention to performance level
Receives and displays the products according to procedures
Constantly maintains a tidy working place according to the Company guidelines

 

Sales

Is responsible for the sales process following the Company standards
Provides and maintains a high level of customer service
Manages commercial relations with clients in order to ensure the highest level of satisfaction.



 

Client management & CRM
Ensures the after-sales service with the same level of efficiency and care, in order to maintain the clients satisfaction and loyalty with the aim of promoting the Brand image
Manages claims with supervisor support
Turns every touchpoint with customers into a positive situation, always promoting Brand image
Communicates to the Management the collected information regarding clients
Executes the follow up of clients’ requests

 

Product & Visual
Participates to product presentations
Deeply knows all products of his/her category and is updated on all the product categories in store
Ensures the appropriate care of the store","Profile
Experience as Client Advisor in a luxury boutique
Alignment with Loro Piana brand and products
Strong luxury touch and approach
Excellent interpersonal and relationship building skills
Strong clientelling skills",Not Available
Client Advisor | BerlinLoro PianaReference: LORP02704,Published on 09.12.2024,"Berlin, Germany",Permanent Job,https://www.lvmh.com/join-us/our-job-offers/LORP02704,"Job responsibilities
Is polyvalent, constantly operating to serve the store, with the aim of achieving the highest customer satisfaction.
Is aligned to the style and to the Brand qualitative standards during the whole sales process and after-sales
Cooperates with colleagues in order to create a positive environment and pays attention to performance level
Receives and displays the products according to procedures
Constantly maintains a tidy working place according to the Company guidelines

 

Sales

Is responsible for the sales process following the Company standards
Provides and maintains a high level of customer service
Manages commercial relations with clients in order to ensure the highest level of satisfaction.



 

Client management & CRM
Ensures the after-sales service with the same level of efficiency and care, in order to maintain the clients satisfaction and loyalty with the aim of promoting the Brand image
Manages claims with supervisor support
Turns every touchpoint with customers into a positive situation, always promoting Brand image
Communicates to the Management the collected information regarding clients
Executes the follow up of clients’ requests

 

Product & Visual
Participates to product presentations
Deeply knows all products of his/her category and is updated on all the product categories in store
Ensures the appropriate care of the store","Profile
Experience as Client Advisor in a luxury boutique
Alignment with Loro Piana brand and products
Strong luxury touch and approach
Excellent interpersonal and relationship building skills
Strong clientelling skills",Not Available
"Team Leader, Breuninger MunichLoeweReference: LOEW01741",Published on 09.12.2024,"Munich, Germany",Permanent Job,https://www.lvmh.com/join-us/our-job-offers/LOEW01741,"Job responsibilitiesYour role will be:

Assist the Management with day-to-day management of the team.
Act as the Manager on Duty in the absence of Management.
Responsible for opening and closing the store in the absence of Management.
Support Management with delivering training and coaching to the team.
Be an exceptional team player consistently achieving individual and team objectives.
Provide an exceptional customer service experience to each client; greeting, listening, assisting, advising, and exceeding their expectations.
Exemplify and share our brand history and heritage to the team and clients.
Highlight our product categories through your product knowledge to cross sell and upsell.
Engage with diverse clients, always putting them at ease to develop long lasting relationships.
Develop and grow your client book, updating client information on the relevant company tools.
Perform as a team player, participating and collaborating in all activities contributing to the overall objectives of the store.
Actively participate in visual merchandising in accordance with LOEWE’s visual standards.
Maintain products in an efficient, clean, secure, and organized manner; front and back of house.
Support with inventory management and ad hoc back of house tasks.
Follow the company’s policies and procedures including LOEWE’s standards in terms of grooming and behavior.","ProfileWhat is important for the role:

Experience within a similar retail role.
A deep interest in Fashion, Art, and Culture.
Experience working with and leading a diverse, dynamic team.
Excellent organizational, prioritization and multitasking skills.
Ability to lead and inspire the team to perform at their best.
Comfortably adapts and connects with different employees and clients.
Effective communication skills with the sensitivities to build and maintain a client book.
Results driven with a commercial mindset without compromising on the Team Player attitude.
Flexible, adaptable, and collaborative approach to work.
Fluent in German and English.","Additional informationAbout LOEWE
Created in Spain in 1846, LOEWE celebrates over 175 years as one of the world’s major luxury houses. Since 2013, under LOEWE’s creative director, Jonathan Anderson, the brand has started a new chapter, presenting itself to the world as a house focused on craft and culture; evidenced through an intellectual yet playful approach to fashion, bold and vibrant Spanish lifestyle, and unmatched expertise with leather.
LOEWE has a rich legacy of craftsmanship dating back to its beginnings as a collective workshop and has long valued artisanal techniques in its approach to design and manufacture. These core values are reflected in the brand’s belief in the importance of craft in today’s culture, its modern interpretations of historical artistic achievements and its commitment to supporting contemporary art, craft, and culture around the world."
Assistant Store Manager (m/w/x) KölnSephoraReference: 220984,Published on 09.11.2024,"Köln, Germany",Unbefristeter Arbeitsvertrag,https://www.lvmh.com/join-us/our-job-offers/220984,Not Available,"Profile.Für unseren Sephora Store in KÖLN suchen wir in Vollzeit: ASSISTANT STORE MANAGER (m/w/x)  Wir suchen dich als Assistant Store ManagerIn mit … … Fokus auf unsere People & Kunden, Leidenschaft für Retail und Beauty (Make Up, Skin Care, Hair Care & Fragrance) sowie einem Händchen im Umgang mit unseren Brands und dem stetig wachsenden Sortiment.   Dich erwarten ... ... eine attraktive Vergütung... eine überdurchschnittliche Anzahl an Urlaubstagen... Personalrabatte und Fitnessangebot... eine betriebliche Altersvorsorge... Weiterbildung und Flächentrainings... ein positives Umfeld und respektvolle Teamarbeit  Deine Mission wird es sein, … … eindrucksvolle Kundenerlebnisse zu kreieren: Du unterstützt das Team dabei, bedeutungsvolle In-Store-Erlebnisse zu bieten, die eine nachhaltige Markentreue aufbauen. … das Tagesgeschäft im Store assistierend anzuleiten. Du organisierst, gemeinsam mit dem/der Store ManagerIn, den Store und hast einen Blick für Zahlen, Ordnung und Sauberkeit. … unseren Omni-Channel-Ansatz voranzutreiben. Du bist Experte oder Expertin für die Verknüpfung von stationärem und digitalem Handel.… unsere Unternehmenskultur zu leben. Pflege eine positive Kultur, in der jede/r geschätzt wird und durch Feedback und Karriereentwicklung Erfolg befähigt wird. Du agierst als motivierendes Vorbild für dein Team.  Wir freuen uns auf dich, wenn du ... … eine abgeschlossene Ausbildung oder vergleichbare Erfahrung im Bereich Beauty, Kosmetik, Retail, Fashion oder Gastronomie mitbringst.… mindestens ein Jahr Erfahrung als Assistant Manager hast.… ausgeprägte organisatorische, analytische und betriebswirtschaftliche Fähigkeiten sowie eine Leidenschaft für tolle Beauty-Produkte hast.… eine starke soziale Intelligenz und Kommunikationsfähigkeit hast und kurze Gespräche auch auf Englisch führen kannst.  Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst.    Hast du Interesse?Bewirb Dich jetzt als „Assistant Store ManagerIn Köln“ inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de  oder erreiche uns unter 01520 8666663",Not Available
Client Advisor for 6 months (m/f/d) -  Berlin KaDeWe RimowaReference: RIM01191,Published on 09.11.2024,"Berlin, Germany",Permanent Job,https://www.lvmh.com/join-us/our-job-offers/RIM01191,"Job responsibilitiesYour mission 

Outgoing, customer-focused, and an intuitive sense for Luxury: as the newest RIMOWA member, you'll strengthen our customer relationships and continue to build them through first-class consultations.
With individual CRM goals, extensive product and repair training, you shine in all customer interactions - from consultation to sales to small repairs on site.
The connection to our customers doesn't end when they leave the store - as an after-sales professional, you'll continue to be a professional point of contact for all after sales topics.
A travel companion for life - our iconic products are manufactured to the highest quality standards, a demand we also place on our repairs. You will be responsible for first-class processing, from acceptance through communication with the responsible technical team to return to our customers.","ProfileYour experience and skills 

We are looking forward to your experience in the luxury sector, but also welcome you as a new starter in our team.
For advising our international customers, you speak fluent German and English, ideally you have additional language skills.
The customer experience is important to you - you are passionate about client-telling.","Additional informationOur offer 

Competitive and attractive compensation
30 days annual leave
Subsidized JobTicket (“DeutschlandTicket”)
Staff discount on our range of RIMOWA products as well as regular LVMH Family & Friend offers
Corporate benefits (e.g., for sports, lifestyle, fashion, etc.)
Company pension plan with high employer contribution
Regular product training to continuously expand your know-how in the luxury segment
An international and exciting environment within the LVHM Group
Exciting projects and individual career development opportunities
Personal support for your everyday family life via Voiio family services
Financial and psychological support through the LVMH Heart Fund

Your future 
At RIMOWA and the LVMH Group, we never stand still. The diverse positions that contribute to our joint success open up a wide range of development opportunities. Whether you want to develop yourself technically or creatively or use your leadership talent later as (Assistant) Store Manager (m/f/d) - RIMOWA is the home for all your ambitions and visions for the future.
 
What are you waiting for? Apply today and soon become part of our unique crew. It's quick, easy and uncomplicated - just tell us your salary requirements and earliest possible start date.
 
Celebrating our inclusive and diverse culture is core to RIMOWA’s DNA. We know that for our business to thrive, we depend on having diverse talent with a range of backgrounds, skills and capabilities in each of the countries in which we operate and to reflect our broad consumer base. We view diversity as one of the key enablers that helps our business to grow."
"Client Advisor, Munich Maximilianstrasse (Temporary October - January)LoeweReference: LOEW01739",Published on 09.11.2024,"Munich, Germany",Temporary Job,https://www.lvmh.com/join-us/our-job-offers/LOEW01739,"Job responsibilitiesYour role will be:

Achieve individual and store objectives
Connect with clients in an engaging emotional way to provide an exceptional and memorable client experience
Engage with all clients and develop long lasting relationships
Maintain relations with clients through regular communication and connection via email, phone, messages, or personalized notes
Master and transmit our brand history and heritage
Highlight our product categories through your product knowledge and storytelling
Develop and grow your client book, updating client information on the relevant company tools
Perform as a team player, participating and collaborating in all activities contributing to the overall objectives of the store
Actively participate in visual merchandising in accordance with LOEWE’s visual standards
Maintain products in an efficient, clean, secure, and organized manner; front and back of house
Support with inventory management and ad hoc back of house tasks
Follow the company’s policies and procedures including LOEWE’s standards in terms of grooming and behavior","ProfileWhat is important for the role:

Proven experience in achieving individual goals and contributing to team results
Experience within a similar customer centric role
A deep interest in Fashion, Art, and Culture
Be naturally inclusive and open minded
Confident, service orientated, adaptable and empathetic in style and approach
Effective communication skills with the sensitivities to build and maintain a client portfolio
Results driven with a commercial mindset without compromising on the Team Player attitude","Additional informationAbout LOEWE
Created in Spain in 1846, LOEWE celebrates over 175 years as one of the world’s major luxury houses. Since 2013, under LOEWE’s creative director, Jonathan Anderson, the brand has started a new chapter, presenting itself to the world as a house focused on craft and culture; evidenced through an intellectual yet playful approach to fashion, bold and vibrant Spanish lifestyle, and unmatched expertise with leather.
LOEWE has a rich legacy of craftsmanship dating back to its beginnings as a collective workshop and has long valued artisanal techniques in its approach to design and manufacture. These core values are reflected in the brand’s belief in the importance of craft in today’s culture, its modern interpretations of historical artistic achievements and its commitment to supporting contemporary art, craft, and culture around the world."
Aushilfe (m/w/d) HannoverSephoraReference: 255192,Published on 09.10.2024,Germany,Befristeter Arbeitsvertrag,https://www.lvmh.com/join-us/our-job-offers/255192,Not Available,"Profilexx Für unseren Sephora Corner im Galeria Karstadt Kaufhof in HANNOVER suchen wir in Teilzeit: AUSHILFE (m/w/x)  Wir suchen dich als Aushilfe mit … … einem Händchen für die Kreation von einzigartigen Verkaufserlebnissen, einer Leidenschaft für unsere unvergleichliche Auswahl an Beauty-Produkten sowie einem ausgeprägten Teamgeist.  Dich erwarten … ... eine attraktive Vergütung ... Weiterbildung & Flächentrainings... ein positives Umfeld & respektvolle Teamarbeit   Deine Mission wird es sein, … … eindrucksvolle Kundenerlebnisse zu kreieren. Bereite eine einladende Atmosphäre, indem du individuell auf die Bedürfnisse unserer Kunden und Kundinnen eingehst.… dein Beauty-Wissen zu teilen. Entfalte deine Kreativität, deine ansteckende Leidenschaft und dein Wissen über unsere einzigartigen Marken und Produkte.… den Erfolg des Stores zu unterstützen. Hilf dabei, einen glänzenden ersten Eindruck zu hinterlassen, indem du den Store sauber und ordentlich hältst.  Wir freuen uns auf dich, wenn du ... … bereits erste Erfahrungen im Bereich Beauty, Kosmetik, Retail, Fashion oder Gastronomie mitbringst.… ein aufgeschlossener und geselliger Mensch mit Verkaufserfahrung bist.… deine Stärken im Bereich Kommunikation, Zuverlässigkeit und Organisation hast.… keine Schwierigkeit damit hast, kurze Gespräche auch auf Englisch zu führen.  Deine Aufgabe wird es sein, ... … eindrucksvolle Kundenerlebnisse zu kreieren. bereite eine einladende Atmosphäre, indem du individuell auf die Bedürfnisse unserer Kunden und Kundinnen eingehst. … dein Beauty-Wissen zu teilen. Entfalte deine Kreativität, deine ansteckende Leidenschaft und dein Wissen über unsere einzigartigen Marken und Produkte.… den Erfolg des Corner zu unterstützen. Hilf dabei, einen glänzenden ersten Eindruck zu hinterlassen, indem du den Corner sauber und ordentlich hältst. Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst.   Hast du Interesse?Bewirb Dich jetzt als „ Aushilfe Hannover“ inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de xx",Not Available
Aushilfe (m/w/d) DresdenSephoraReference: 250216,Published on 09.10.2024,Germany,Befristeter Arbeitsvertrag,https://www.lvmh.com/join-us/our-job-offers/250216,Not Available,"ProfileFür unseren Sephora Corner im Galeria Karstadt Kaufhof in DRESDEN suchen wir in Teilzeit: AUSHILFE (m/w/x)  Wir suchen dich als Aushilfe mit … … einem Händchen für die Kreation von einzigartigen Verkaufserlebnissen, einer Leidenschaft für unsere unvergleichliche Auswahl an Beauty-Produkten sowie einem ausgeprägten Teamgeist.  Dich erwarten … ... eine attraktive Vergütung ... Weiterbildung & Flächentrainings... ein positives Umfeld & respektvolle Teamarbeit   Deine Mission wird es sein, … … eindrucksvolle Kundenerlebnisse zu kreieren. Bereite eine einladende Atmosphäre, indem du individuell auf die Bedürfnisse unserer Kunden und Kundinnen eingehst.… dein Beauty-Wissen zu teilen. Entfalte deine Kreativität, deine ansteckende Leidenschaft und dein Wissen über unsere einzigartigen Marken und Produkte.… den Erfolg des Stores zu unterstützen. Hilf dabei, einen glänzenden ersten Eindruck zu hinterlassen, indem du den Store sauber und ordentlich hältst.  Wir freuen uns auf dich, wenn du ... … bereits erste Erfahrungen im Bereich Beauty, Kosmetik, Retail, Fashion oder Gastronomie mitbringst.… ein aufgeschlossener und geselliger Mensch mit Verkaufserfahrung bist.… deine Stärken im Bereich Kommunikation, Zuverlässigkeit und Organisation hast.… keine Schwierigkeit damit hast, kurze Gespräche auch auf Englisch zu führen.  Deine Aufgabe wird es sein, ... … eindrucksvolle Kundenerlebnisse zu kreieren. bereite eine einladende Atmosphäre, indem du individuell auf die Bedürfnisse unserer Kunden und Kundinnen eingehst. … dein Beauty-Wissen zu teilen. Entfalte deine Kreativität, deine ansteckende Leidenschaft und dein Wissen über unsere einzigartigen Marken und Produkte.… den Erfolg des Stores zu unterstützen. Hilf dabei, einen glänzenden ersten Eindruck zu hinterlassen, indem du den Corner sauber und ordentlich hältst. Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst.   Hast du Interesse?Bewirb Dich jetzt als „ Aushilfe Dresden“ inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de",Not Available
(studentische) Aushilfe (m/w/d)Louis VuittonReference: LVM25652,Published on 09.10.2024,"Frankfurt Am Main, Germany",Befristeter Arbeitsvertrag,https://www.lvmh.com/join-us/our-job-offers/LVM25652,"Job responsibilitiesDeine Aufgaben

 Begrüßung unserer Kunden, sowie Koordinieren des Trafficmanagements

 

 Verkaufsbegleitende Tätigkeiten (Verpackungshilfe, Service)

 

 Unterstützung des Verkaufspersonals bei der Warenpräsentation und Abwicklung

 

 Kommunikation, Betreuung und Bewirtung der Kundinnen und Kunden während möglicher Wartezeiten

 

 Mithilfe beim Verkauf","ProfileDeine Qualifikationen

 Idealerweise bereits erste Erfahrungen im Retail, Gastronomie, Tourismus oder Hotellerie

 

 Sensibilität im Umgang mit einer anspruchsvollen Kundschaft

 

 Positive Ausstrahlung und sichere Umgangsformen

 

 Spaß am Arbeiten im Team

 

 Sehr gute Deutsch- und Englischkenntnisse sind Voraussetzung, weitere Sprachen von Vorteil","Additional informationWir bieten dir eine interessante und abwechslungsreiche Tätigkeit in einem internationalen, multikulturellen und dynamischen Ambiente, nette Kollegen und herausfordernde Aufgaben sowie attraktive Sozialleistungen. Zudem erhältst eine umfangreiche Einarbeitung. Jährliche Mitarbeitergespräche geben Rückmeldung und zeigen dir persönliche und berufliche Perspektiven innerhalb der LVMH-Gruppe auf. Fort- und Weiterbildungsangebote runden unser attraktives Angebot ab.
 
Wenn Sie sich in dieser Beschreibung erkennen, freuen wir uns auf Ihre Onlinebewerbung unter jobs.louisvuitton.com. Bitte beachten Sie, dass wir ausschließlich Onlinebewerbungen berücksichtigen können und postalisch zugesandte Bewerbungsunterlagen von uns nicht zurückgesandt werden."
Ausbildung zum Uhrmacher (m/w/d) bei TAG Heuer 2025LVMH Watches & JewelryReference: ASSWIJ00152,Published on 09.10.2024,"Pforzheim, Germany",Temporary Job,https://www.lvmh.com/join-us/our-job-offers/ASSWIJ00152,"Job responsibilitiesWAS DICH AUSZEICHNET

Dein technisches Verständnis, handwerkliches Geschick und Deine hohe Konzentrationsfähigkeit zeichnen Dich aus
Deine Leidenschaft für sorgfältige und genaue Arbeitsweisen ermöglichen Dir das Auge für Details
Du bringst Interesse an mechanischen Uhren sowie Begeisterung für gewissenhafte Arbeit mit

 
WAS WIR BIETEN

Eine moderne Werkstatt mit separatem Ausbildungs- und Schulungs-Bereich
30 Urlaubstage pro Kalenderjahr
Eine attraktive und wettbewerbsorientierte Ausbildungsvergütung sowie eine monatliche Verpflegungsbezuschussung
100% Kostenübernahme des Deutschland-Tickets
Eine intensive Einarbeitung in die Welt der Uhren, mit persönlicher Betreuung durch den für die Ausbildung zuständigen Uhrmachermeister und durch die TAG Heuer Learning Lab App
Regelmäßige Mitarbeitergespräche, individuelle Personalentwicklung sowie Möglichkeiten zur Weiterentwicklung innerhalb des Konzerns
Arbeitgebergeförderte, betriebliche Altersvorsorge
Eine offene und familiäre Arbeitsatmosphäre mit Duz-Kultur sowie regelmäßige Mitarbeiterevents

 
KONTAKTTickst Du wie wir? Dann freuen wir uns auf Deine Bewerbung inklusive Lebenslauf, Motivationsschreiben und Abschluss- oder Zwischenzeugnisse.
Wir wünschen Dir viel Erfolg!
Personalabteilung:Aliya-Mara KruckerTeam AssistantLVMH Watch & Jewelry Central Europe GmbH, Zimmersmühlenweg 8-10, 61440 Oberursel",Not Available,Not Available
Assistant Corner Manager (m/w/x) Berlin AlexSephoraReference: 246847,Published on 09.09.2024,"Berlin, Germany",Befristeter Arbeitsvertrag,https://www.lvmh.com/join-us/our-job-offers/246847,Not Available,"Profile.Für unseren Sephora Corner im Galeria Karstadt Kaufhof in BERLIN ALEX suchen wir in Vollzeit: Assistant Corner Manager (m/w/x)   Wir suchen dich als Assistant Corner ManagerIn mit … … Fokus auf unsere People & Kunden, Leidenschaft für Retail und Beauty (Make Up, Skin Care, Hair Care & Fragrance) sowie einem Händchen im Umgang mit unseren Brands und dem stetig wachsenden Sortiment.   Dich erwarten … ... eine attraktive Vergütung... eine überdurchschnittliche Anzahl an Urlaubstagen... Personalrabatte & Fitnessangebot... eine betriebliche Altersvorsorge... Weiterbildung & Flächentrainings... ein positives Umfeld & respektvolle Teamarbeit  Deine Mission wird es sein, … … eindrucksvolle Kundenerlebnisse zu kreieren: Du unterstützt das Team dabei, bedeutungsvolle In-Corner-Erlebnisse zu bieten, die eine nachhaltige Markentreue aufbauen.… das Tagesgeschäft im Corner assistierend anzuleiten. Du organisierst, gemeinsam mit dem/der Corner ManagerIn, den Corner und hast einen Blick für Zahlen, Ordnung und Sauberkeit.… unseren Omni-Channel-Ansatz voranzutreiben. Du bist Experte oder Expertin für die Verknüpfung von stationärem und digitalem Handel.… unsere Unternehmenskultur zu leben. Pflege eine positive Kultur, in der jede/r geschätzt wird und durch Feedback und Karriereentwicklung Erfolg befähigt wird. Du agierst als motivierendes Vorbild für dein Team.  Wir freuen uns auf dich, wenn du ...  … eine abgeschlossene Ausbildung oder vergleichbare Erfahrung im Bereich Beauty, Kosmetik, Retail, Fashion oder Gastronomie mitbringst.… mindestens ein Jahr Erfahrung als Assistant Manager hast.… ausgeprägte organisatorische, analytische und betriebswirtschaftliche Fähigkeiten sowie eine Leidenschaft für tolle Beauty-Produkte hast.… eine starke soziale Intelligenz und Kommunikationsfähigkeit hast und kurze Gespräche auch auf Englisch führen kannst.  Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst.  Hast du Interesse?Bewirb Dich jetzt als „Assistant Corner ManagerIn Berlin Alex“ inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de oder erreiche uns unter 01520 8666663.",Not Available
Praktikant HR Digitalization (m/w/d)LVMH Perfumes & CosmeticsReference: SSCPC01871,Published on 09.09.2024,"Dusseldorf, Germany",Internship,https://www.lvmh.com/join-us/our-job-offers/SSCPC01871,Not Available,Not Available,Not Available
PR & Communications Manager (M/F/D) – EuropeRimowaReference: RIM01143,Published on 09.09.2024,"Cologne, Germany",Permanent Job,https://www.lvmh.com/join-us/our-job-offers/RIM01143,"Job responsibilitiesYOUR MISSION

Reporting to the Head of Marketing EMEA and in close collaboration with the Global Head of Communications, you will create and lead our PR and communications strategy for Europe by building and tracking diverse local activations.
Build strong local press relations and ensure an efficient distribution of press material to media outlets to maximize editorial coverage. This includes a close collaboration with our (social) media teams to create synergies and ensure brand consistency across all channels.
Manage day-to-day PR activities: Work closely with our regional PR agencies, various stakeholders, and spokespeople; write, edit, and translate press releases, as well as other content both in English and in German; oversee all kinds of coverage such as clippings, sample tracking, product placements, editorial requests.
Together with our global talents/ influencer marketing team, you’ll be responsible for the management and follow-up of influencer giftings, shipment and deliveries.
Manage, coordinate, and implement local sponsoring/ partnership activities.
Event Management: Conceptualize, plan, and execute various client/consumer-driven and press events such as store openings, product launches, exhibitions, press days.
Monitor local PR budget and dedicated expenses.
Ensure a timely delivery of assets so that deadlines are met. This also includes proactive feedback and continuous project updates to your reporting manager with regards to specific","ProfileYOUR EXPERIENCE AND SKILLS

Excellent written and verbal communication skills in German and English. Any additional language is a plus (especially French, Italian, or Spanish).
Master’s degree in relevant field such as public relations, communication, or marketing
4-5 years of relevant work experience in luxury/ lifestyle as journalist/magazine editor, or PR/press in an international environment.
Excellent knowledge of European media landscape, players and audience. Experience in Germany is a plus. Ability to understand and foresee market trends.
Great connector to drive relationship with key stakeholders and KOLs in the region.
Act as an ambassador for the brand in the region.
Comfortable with budget planning and tracking.
International mindset, creative, curious by nature & open-minded.
True team player with a can-do attitude.
Excellent project and time management skills; Ability to work on multiple projects at the same time and re-prioritize tasks.
Interest and availability to travel within Europe and elsewhere if necessary.
Master of Microsoft Office (PowerPoint, Excel, Outlook).
Passionate about Art / Design / Fashion / Travel.","Additional informationOUR OFFER

Competitive and attractive compensation with additional profit-sharing scheme
30 paid vacation days per year
Your own RIMOWA Essential Ambassador suitcase (after 6 months seniority on a permanent contract)
30% discount on our range of RIMOWA products
Subsidized job ticket (""Deutschlandticket"") for free regional travel throughout Germany and access to job bikes
Corporate benefits (e.g., for sports, lifestyle, fashion, etc.)
Company pension plan with high employer contribution
Employer-financed pension commitment in the event of death or disability
An international and exciting environment within the LVHM Group
Exciting projects and individual career development opportunities
Personal support for your everyday family life via Voiio family services
Financial and psychological support through the LVMH Heart Fund
Regular employee events

 
YOUR FUTURE
At RIMOWA and the LVMH Group, we never stand still. The diverse positions that contribute to our joint success open up a wide range of development opportunities. RIMOWA is the home for all your ambitions and visions for the future. #PlaceToGrow
 
What are you waiting for? Apply today to join our unique crew. It's quick, convenient, and simple – please let us know your salary requirements and earliest start date in your application.
 
Find us on Instagram and Twitter to get a first impression: @RIMOWA or at www.rimowa.com.
Celebrating our inclusive and diverse culture is core to RIMOWA’s DNA. We know that for our business to thrive, we depend on having diverse talent with a range of backgrounds, skills and capabilities in each of the countries in which we operate and to reflect our broad consumer base. We view diversity as one of the key enablers that helps our business to grow"
